formulator,original_sentence,cluster_label
COPE,"Whether the decision was made by AI or a human editor, the journal and publisher are accountable for the editorial decision.",7
COPE,"Sound arguments should be presented by the authors to the journal editors or the publisher management team to highlight the ways in which the decision making process was flawed, if treatment was unfair, or if discrimination was noticed.",2
COPE,Authors also have the right to be informed about which publishing processes or workflows were automated or where AI decisions were involved.,5
COPE,The use of artificial intelligence (AI) tools such as ChatGPT or Large Language Models in research publications is expanding rapidly.,8
COPE,"COPE joins organisations, such as WAME and the JAMA Network among others, to state that AI tools cannot be listed as an author of a paper.",1
COPE,AI tools cannot meet the requirements for authorship as they cannot take responsibility for the submitted work.,5
COPE,"As non-legal entities, they cannot assert the presence or absence of conflicts of interest nor manage copyright and license agreements.",5
COPE,"Authors who use AI tools in the writing of a manuscript, production of images or graphical elements of the paper, or in the collection and analysis of data, must be transparent in disclosing in the Materials and Methods (or similar section) of the paper how the AI tool was used and which tool was used.",7
COPE,"Authors are fully responsible for the content of their manuscript, even those parts produced by an AI tool, and are thus liable for any breach of publication ethics.",6
degruyterbrill,AI-Policy for Authors Generative AI technologies are changing the way we use and retrieve information and knowledge.,0
degruyterbrill,"At De Gruyter Brill, we are confident that artificial intelligence brings opportunities to further our mission of increasing the visibility, discoverability, and impact of academic research.",3
degruyterbrill,"At the same time, we are aware of the challenges and risks that come with the advances in generative AI technologies.",0
degruyterbrill,"Generative AI is evolving quickly, and we will be regularly reviewing and updating these guidelines, to enable our authors to use AI tools in a secure and ethical manner.",0
degruyterbrill,"Authorship We do not accept papers (journal articles, book chapters, etc.) that are generated by Artificial Intelligence (AI) or Machine Learning Tools primarily because such tools cannot take responsibility for the submitted work and therefore cannot be considered as authors.",2
degruyterbrill,Authors remain fully accountable for any work submitted.,6
degruyterbrill,"Disclosure If Artificial Intelligence (AI) or machine learning tools or technologies are used as part of the design or methodology of a research study, their use should be clearly described in an acknowledgements section.",2
degruyterbrill,The use of AI tools must be disclosed when their output has significantly contributed to any part of your manuscript.,7
degruyterbrill,The use of such tools for simple proofreading and copy-editing does not have to be declared.,1
degruyterbrill,Document which AI tools you use and how you use them throughout your research and writing process.,7
degruyterbrill,Starting this process early will make it easier to keep track and add the right disclosures later on.,0
degruyterbrill,"For the purposes of this policy, generative AI tools and large language models (LLMs) are systems that create or transform substantive content (e.g., text, images, code, audio, or data) in response to prompts.",2
degruyterbrill,"Examples include ChatGPT, Copilot, Gemini and others, image generators such as Midjourney or DALL-E, and code assistants like ClaudeCode or Cursor.",8
degruyterbrill,"AI Generated Images We do not permit the use of Generative AI tools to create or in any way to manipulate images or figures, or research data in submitted manuscripts.",2
degruyterbrill,The creation or alteration of experimental images using AI is considered unethical and is strictly prohibited.,5
degruyterbrill,"Rights, Privacy and Accuracy As a default, you should assume that everything you enter into an AI system can be stored, processed, and used for training.",5
degruyterbrill,"There are differences between individual tools and sometimes there is a possibility to minimize data processing through settings, but in general, make sure you do not input personal, confidential, or sensitive data.",2
degruyterbrill,"If possible, choose tools where you can: Disable the storage of data for training Turn off the memory or tracking history Delete your chat history Copyright Do not input any copyrighted material into any AI systems.",1
degruyterbrill,"Copyrighted texts may only be fed into AI if the rights owner has granted you the right to do so, and / or if you can make sure that it is not saved and / or used for further AI training.",5
degruyterbrill,Always read the terms and conditions of the tools that you choose to use and don’t use any dubious tools.,7
degruyterbrill,Privacy & Confidentiality Always keep applicable data privacy legislation in mind when interacting with any AI tool and inputting any information.,0
degruyterbrill,"If you are in Europe, for instance, refer to the EU AI Act and the GDPR compliance guidelines.",9
degruyterbrill,Accuracy AI can make mistakes.,4
degruyterbrill,Proof generated output thoroughly for any inaccuracies or biases.,4
degruyterbrill,Always make sure to fact-check results.,4
degruyterbrill,"As an author you are solely and fully responsible for the work you submit to us, including any parts produced by an AI tool, and are thus liable for any breach of publication ethics.",6
degruyterbrill,"Peer Review The manuscript or any parts thereof should not be entered into AI systems, such as Chat GPT, Grammarly, etc.",1
degruyterbrill,"Verifying how these platforms handle data is impossible; thus, any uploads may compromise the authors’ confidentiality, proprietary or data privacy rights, which does not comply with our publishing standards.",5
degruyterbrill,"Peer review requires critical thinking and nuanced assessment, tasks that fall beyond the capabilities of generative AI and AI-assisted technologies (prone to generate incorrect, incomplete, or biased conclusions).",2
degruyterbrill,"Therefore, the responsibility for peer review lies exclusively with humans.",3
DUP,Originality and the Use of AI Authors should submit only original work that properly cites or quotes the work of others.,6
DUP,DUP will not accept work substantially written by generative AI and Large Language Models (LLMs).,8
DUP,"Authors must disclose the use of AI or LLMs in their work in a general statement at the beginning of their article (for instance, in an unnumbered note).",9
DUP,"In addition, each specific use of AI and LLM tools in text, images, tables, or other parts of the work must be cited—just as any external source would be.",2
DUP,Individual journals published by the Press may have more specific guidelines for the use of generative AI and LLMs. Articles should not be simultaneously under consideration by another journal.,1
elsevier,"Generative AI policies for journals These policies were initially triggered by the rise of generative AI* and AI-assisted technologies, which were expected to increasingly be used by researchers and have now been updated to reflect evolving good practice.",0
elsevier,"These policies aim to provide greater transparency and guidance to authors, reviewers, editors, readers and contributors.",3
elsevier,Elsevier will continue to monitor developments in this area and will adjust or refine policies as appropriate.,0
elsevier,"For authors The use of generative AI and AI-assisted technologies in manuscript preparation - an overview Elsevier recognizes the potential of generative AI and AI-assisted technologies (“AI Tools”), when used responsibly, to help researchers work efficiently, gain critical insights fast and achieve better outcomes.",2
elsevier,"Increasingly, these tools, including AI agents and deep research tools, are helping researchers to synthesize complex literature, provide an overview of a field or research question, identify research gaps, generate ideas and provide tailored support for tasks such as content organization and improving language and readability.",2
elsevier,Authors preparing a manuscript for an Elsevier journal can use AI Tools to support them.,1
elsevier,"However, these tools must never be used as a substitute for human critical thinking, expertise and evaluation.",1
elsevier,AI Tools should always be applied with human oversight and control.,0
elsevier,"Ultimately, authors are responsible and accountable for the contents of their work.",6
elsevier,"This includes accountability for: Carefully reviewing and verifying the accuracy, comprehensiveness, and impartiality of all AI-generated output (including checking the sources, as AI-generated references can be incorrect or fabricated).",2
elsevier,"Editing and adapting all material thoroughly to ensure the manuscript represents the author’s authentic and original contribution and reflects their own analysis, interpretation, insights and ideas.",7
elsevier,"Ensuring the use of any tools or sources, AI-based or otherwise, is made clear and transparent to readers — for the use of AI Tools we require a disclosure statement upon submission.",5
elsevier,"Ensuring the manuscript is developed in a way that safeguards data privacy, intellectual property and other rights, by checking the terms and conditions of any AI Tool that is used.",5
elsevier,"Responsible use of AI Tools Authors must check the terms and conditions of any AI Tool that they use to ensure that the privacy and confidentiality of their data and inputs, including their unpublished manuscripts, is maintained.",7
elsevier,Particular care should be taken with any personally identifiable data.,0
elsevier,"Images that duplicate or refer to existing copyrighted images, real people, or others’ identifiable products or brands must not be generated, nor any likeness of an individual’s voice.",5
elsevier,Authors should check for factual errors and for any potential bias.,7
elsevier,"Authors should also check the terms and conditions of any AI Tool they wish to use to ensure that, they only grant to the AI Tool the right to use their materials to provide the service to them and that they do not grant to the AI Tool any other rights to the materials that they input into the AI Tool (including without limitation the right to train the AI Tool on those materials).",5
elsevier,They must also ensure that the AI Tool does not impose constraints on the use of outputs from the AI Tool in a way that could restrict the subsequent publication of the relevant article.,5
elsevier,Disclosure Authors should disclose the use of AI Tools for manuscript preparation in a separate AI declaration statement in their manuscript upon submission and a statement will appear in the published work.,9
elsevier,"Authors should document their use of AI, including the name of the AI Tool used, the purpose of the use, and the extent of their oversight.",7
elsevier,"Declaring the use of AI Tools supports transparency and trust between authors, readers, reviewers, editors and contributors and facilitates compliance with the terms of use of the relevant AI Tool.",3
elsevier,"Basic checks of grammar, spelling and punctuation need no declaration.",1
elsevier,AI use in the research process should be declared and described in detail in the methods section.,9
elsevier,"Authorship Authors should not list AI Tools as an author or co-author, nor cite AI Tools as an author.",1
elsevier,Authorship implies responsibilities and tasks that can only be attributed to and performed by humans.,5
elsevier,Each (co-) author is accountable for ensuring that questions related to the accuracy or integrity of any part of the work are appropriately investigated and resolved and authorship requires the ability to approve the final version of the work and agree to its submission.,6
elsevier,"Authors are also responsible for ensuring that the work is original and has not been previously published, that the stated authors qualify for authorship, and the work does not infringe third party rights, and should familiarize themselves with Elsevier’s Ethics in Publishing policy before they submit.",6
elsevier,"The use of generative AI and AI-assisted tools in figures, images and artwork We do not permit the use of Generative AI or AI-assisted tools to create or alter images in submitted manuscripts.",2
elsevier,"This may include enhancing, obscuring, moving, removing, or introducing a specific feature within an image or figure.",2
elsevier,"Adjustments of brightness, contrast, or color balance are acceptable if and as long as they do not obscure or eliminate any information present in the original.",2
elsevier,Image forensics tools or specialized software might be applied to submitted manuscripts to identify suspected image irregularities.,1
elsevier,"The only exception is if the use of AI or AI-assisted tools is part of the research design or research methods (such as in AI-assisted imaging approaches to generate or interpret the underlying research data, for example in the field of biomedical imaging).",2
elsevier,"If this is done, such use must be described in a reproducible manner in the methods section.",9
elsevier,"This should include an explanation of how the AI or AI-assisted tools were used in the image creation or alteration process, and the name of the model or tool, version and extension numbers, and manufacturer.",2
elsevier,Authors should adhere to the AI software’s specific usage policies and ensure correct content attribution.,6
elsevier,"Where applicable, authors could be asked to provide pre-AI-adjusted versions of images and/or the composite raw images used to create the final submitted versions, for editorial assessment.",1
elsevier,The use of generative AI or AI-assisted tools in the production of artwork such as for graphical abstracts is not permitted.,8
elsevier,"The use of generative AI in the production of cover art may in some cases be allowed, if the author obtains prior permission from the journal editor and publisher, can demonstrate that all necessary rights have been cleared for the use of the relevant material, and ensures that there is correct content attribution.",7
elsevier,"For reviewers The use of generative AI and AI-assisted technologies in the journal peer review process When a researcher is invited to review another researcher’s paper, the manuscript must be treated as a confidential document.",1
elsevier,"Reviewers should not upload a submitted manuscript or any part of it into a generative AI tool as this may violate the authors’ confidentiality and proprietary rights and, where the paper contains personally identifiable information, may breach data privacy rights.",5
elsevier,"This confidentiality requirement extends to the peer review report, as it may contain confidential information about the manuscript and/or the authors.",7
elsevier,"For this reason, reviewers should not upload their peer review report into an AI tool, even if it is just for the purpose of improving language and readability.",1
elsevier,Peer review is at the heart of the scientific ecosystem and Elsevier abides by the highest standards of integrity in this process.,3
elsevier,Reviewing a scientific manuscript implies responsibilities that can only be attributed to humans.,1
elsevier,"Generative AI or AI-assisted technologies should not be used by reviewers to assist in the scientific review of a paper as the critical thinking and original assessment needed for peer review is outside of the scope of this technology and there is a risk that the technology will generate incorrect, incomplete or biased conclusions about the manuscript.",2
elsevier,The reviewer is responsible and accountable for the content of the review report.,6
elsevier,"Elsevier’s AI author policy states that authors are allowed to use generative AI and AI-assisted technologies in the manuscript preparation process before submission, but only with appropriate oversight and disclosure, as per our instructions in Elsevier’s Guide for Authors.",7
elsevier,Reviewers can find such disclosure at the bottom of the paper in a separate section before the list of references.,9
elsevier,"Please note that Elsevier owns identity protected AI-assisted technologies which conform to the RELX Responsible AI Principles, such as those used during the screening process to conduct completeness and plagiarism checks and identify suitable reviewers.",5
elsevier,These in-house or licensed technologies respect author confidentiality.,4
elsevier,Our programs are subject to rigorous evaluation of bias and are compliant with data privacy and data security requirements.,5
elsevier,"Elsevier embraces new AI-driven technologies that support reviewers and editors in the editorial process, and we continue to develop and adopt in-house or licensed technologies that respect authors’, reviewers’ and editors’ confidentiality and data privacy rights.",3
elsevier,For editors The use of generative AI and AI-assisted technologies in the journal editorial process A submitted manuscript must be treated as a confidential document.,1
elsevier,"Editors should not upload a submitted manuscript or any part of it into a generative AI tool as this may violate the authors’ confidentiality and proprietary rights and, where the paper contains personally identifiable information, may breach data privacy rights.",5
elsevier,This confidentiality requirement extends to all communication about the manuscript including any notification or decision letters as they may contain confidential information about the manuscript and/or the authors.,7
elsevier,"For this reason, editors should not upload their letters into an AI tool, even if it is just for the purpose of improving language and readability.",2
elsevier,Peer review is at the heart of the scientific ecosystem and Elsevier abides by the highest standards of integrity in this process.,3
elsevier,Managing the editorial evaluation of a scientific manuscript implies responsibilities that can only be attributed to humans.,1
elsevier,"Generative AI or AI-assisted technologies should not be used by editors to assist in the evaluation or decision-making process of a manuscript as the critical thinking and original assessment needed for this work is outside of the scope of this technology and there is a risk that the technology will generate incorrect, incomplete or biased conclusions about the manuscript.",2
elsevier,"The editor is responsible and accountable for the editorial process, the final decision and the communication thereof to the authors.",6
elsevier,"Elsevier’s AI author policy states that authors are allowed to use generative AI and AI-assisted technologies in the manuscript preparation process before submission, but only with appropriate oversight and disclosure, as per our instructions in Elsevier’s Guide for Authors.",7
elsevier,Editors can find such disclosure at the bottom of the paper in a separate section before the list of references.,9
elsevier,"If an editor suspects that an author or a reviewer has violated our AI policies, they should inform the publisher.",7
elsevier,"Please note that Elsevier owns identity protected AI-assisted technologies which conform to the RELX Responsible AI Principles, such as those used during the screening process to conduct completeness and plagiarism checks and identify suitable reviewers.",5
elsevier,These in-house or licensed technologies respect author confidentiality.,4
elsevier,Our programs are subject to rigorous evaluation of bias and are compliant with data privacy and data security requirements.,5
elsevier,"Elsevier embraces new AI-driven technologies that support reviewers and editors in the editorial process, and we continue to develop and adopt in-house or licensed technologies that respect authors’, reviewers’ and editors’ confidentiality and data privacy rights.",3
elsevier,"*Generative AI is a type of artificial intelligence technology that can produce various types of content including text, imagery, audio and synthetic data.",8
elsevier,"Examples include ChatGPT, NovelAI, Jasper AI, Rytr AI, DALL-E, etc.",8
elsevier,Policy updated updated September 2025.,4
elsevier,"Publication Process Elsevier's use of AI and AI-assisted technologies in the publication process As part of our ongoing commitment to enhancing the experience for authors, reviewers, and editors of our journals, we are continually exploring innovative ways to improve the publication process.",3
elsevier,Our goal is to leverage the latest technology to support our experts in maintaining the highest quality of publications and preserving trust in the content we publish.,3
elsevier,"How Elsevier currently uses AI in the publication process Our editors have access to AI tools that assist in identifying relevant reviewers, matching the scope of submissions, and detecting duplicate submissions.",2
elsevier,"Our authors are supported with tools such as our Journal Finder, which help them identify suitable journals for their work.",1
elsevier,"Additionally, if a paper is not accepted by the preferred journal, our Article Transfer Service may suggest alternative publication options using expert recommendations or matching algorithms.",1
elsevier,"Our teams use AI tools to support them in: Conducting technical checks of submitted papers, such as checking for adherence to submission guidelines and assessing for completeness.",1
elsevier,Performing research integrity checks to ensure compliance with our policies.,5
elsevier,"Supporting the post-acceptance stage of publication, including proof preparation, copy editing, and identifying inconsistencies or inaccuracies in the final paper.",7
elsevier,We are committed to ensuring that human oversight remains at the core of decision-making.,3
elsevier,Our AI tools serve as a valuable support mechanism which empowers our experts to make informed decisions.,0
elsevier,*Please note that the range of AI use varies depending on the journal.,9
elsevier,"If you have any questions, please contact the specific journal directly.",9
Emerald,"Artificial Intelligence (AI) This policy explains how our authors, editorial teams, and peer reviewers can use artificial intelligence (AI) when preparing or reviewing work for Emerald.",2
Emerald,Further details are provided below on the specific use-cases for this technology; any questions should be directed to the appropriate Emerald editorial contact.,9
Emerald,"Copywriting (creating, drafting, or writing) any part of a submission using generative AI tools and technology to generate new material is not permitted.",2
Emerald,"Copy-editing (correcting, editing, formatting, modifying, or refining) all or part of an author’s own original existing work using generative AI tools and technology to improve its structure and the clarity of the language and grammar is permitted, ensuring users adhere to the following overarching principles.",2
Emerald,Emerald’s overarching principles of AI usage Authors and peer reviewers are responsible and accountable for the accuracy and integrity of their work.,6
Emerald,AI tools and technology must be used responsibly and transparently.,0
Emerald,AI tools and technology should not replace human involvement in the publication process but instead supplement it.,1
Emerald,Emerald recognises the growing role of AI tools and technology in the creation of academic content and that authors may wish to use these when preparing work to be submitted.,5
Emerald,"Productive and responsible use of this technology stems from human oversight, authorship, creativity, and expertise enhanced by AI capabilities, so that the content produced remains original and aligned with professional ethical and publishing principles.",3
Emerald,"The harnessing of these tools to support the development of academic content should abide by privacy, confidentiality, and compliance obligations (including data protection laws and intellectual property rights), preserve editorial standards, adhere to copyright and licensing requirements, and foster transparency with readers.",5
Emerald,Authors must ensure they remain fully accountable for any sources used and the work produced.,6
Emerald,"Declaring AI Usage Any use of AI tools, including Large Language Models (LLMs), for the creation, development, or generation of an Emerald publication must be flagged, clearly and transparently, by authors within the Methods and Acknowledgements (or another appropriate section) of the work.",5
Emerald,"Authors must describe the content created or modified as well as appropriately cite the name and version of the AI tool used; any additional works drawn on by the AI tool should also be appropriately cited and referenced, with any necessary rights for reproduction secured.",7
Emerald,"If not provided, this information may be requested during the submission and peer review process, or after publication, and its absence could result in the rejection of the work or post-publication action.",7
Emerald,Authors must abide by Emerald’s principles of generative AI usage and should review the terms and conditions or terms of use associated with the AI tool employed to ensure compliance.,5
Emerald,"Authors must take full responsibility for the accuracy of all content considered for publication and verify that the material submitted, including citations and references, is correct, appropriately correlates with the research, and aligns with Emerald’s research and publishing ethics.",6
Emerald,"Standard tools that are used to improve spelling and grammar are not included within the parameters of this guidance, specifically those tools not using generative AI.",2
Emerald,"Emerald reserves the right to determine whether the use of an AI tool is permitted in a submitted work, and the right to reject submissions and to take appropriate post-publication action on published material found to feature fabricated or fraudulent AI-generated content.",5
Emerald,"Generative AI usage key principles To harness the benefits of AI tools and technology in an accountable, responsible, and transparent manner when preparing work for submission, Emerald emphasises the following key principles of generative AI usage for authors to ensure appropriate human oversight of the writing process and adherence to Emerald’s contractual warranties, including that their material is original, not previously published, and permission has been cleared for any third-party material included.",5
Emerald,"AI and authorship In accordance with COPE’s position statement on AI tools, LLMs cannot be credited with authorship as they do not have legal standing or the ability to assign copyright, are incapable of conceptualising a research design without human direction, and cannot be accountable for the integrity, originality, and validity of the published work.",5
Emerald,"AI and content creation Copywriting any part of a submission using a generative AI tool/LLM is not permitted, including the generation of the abstract or the literature review.",1
Emerald,"In line with standard academic practice, however, Emerald permits the use of examples of generative AI for illustrative purposes as part of scholarly critique and discussion; these examples must be appropriately flagged in the text and be fully cited and referenced in accordance with formatting requirements.",5
Emerald,"Generating, manipulating, or reporting research data and results using a generative AI tool/LLM is not permitted.",8
Emerald,"In-text reporting of statistics using a generative AI tool/LLM is not permitted due to concerns over the authenticity, integrity, and validity of the data produced, although the use of such a tool to aid in the analysis of the work is permissible with appropriate and transparent declaration.",5
Emerald,The submission and publication of images created by AI tools or large-scale generative models is subject to their intended purpose and potential rights requirements; any such usage must not breach Emerald’s plagiarism policy.,5
Emerald,"The following types of AI-generated images are permitted, but we encourage authors to check this in advance of submission with the appropriate editorial contact: explanatory diagrams, teaching illustrations, conceptual visualisations, and process flow diagrams.",1
Emerald,These images must be accurate and not misrepresent information; they should be clearly labelled as generated by AI in accordance with Emerald’s attribution policy and cite the name and version of the tool used.,5
Emerald,"Artistic renderings, cover art, design images, or graphical abstracts created by generative AI are, however, not permitted; this also extends to factual and evidential images, whereby the images are used to support specific scientific or technical claims, such as experiential data and research results.",2
Emerald,Any such third-party images must be clearly and transparently labelled as to their origin and meet our permissions and licensing specifications.,5
Emerald,Any modifications made to images or figures using generative AI tools and technology must not contravene Emerald’s policy on image and figure manipulation.,1
Emerald,"AI and content editing Copy-editing a submission or a peer review report using a generative AI tool/LLM to improve its language and readability is permitted as this mirrors standard tools already employed to improve spelling and grammar, and uses existing author-created material, rather than generating wholly new content, while the author(s) remains responsible for the original work.",2
Emerald,"Authors and peer reviewers should be conscious of the potential for bias, fabrication, misinformation, inaccurate attribution, and plagiarism when using such tools, and should therefore verify the work prior to submission.",7
Emerald,"Authors should maintain and provide documentation of all AI technology used for this purpose, and it should not be employed to replicate the unique work of others.",1
Emerald,"Emerald defines copy-editing as modifying existing material created by the author to improve its language, grammar, and spelling, whereas copywriting would be the creation of new material; this echoes the guidance provided by STM’s Recommendations for a Classification of AI Use in Academic Manuscript Preparation.",2
Emerald,Authors and peer reviewers are responsible and accountable for the work that is submitted to Emerald and take full responsibility for the accuracy and integrity of any AI usage.,6
Emerald,AI evaluation and peer review Emerald operates the following key principles when it comes to the use of artificial intelligence (AI) by our editorial teams and peer reviewers: Any work or files submitted to Emerald for consideration and review should not be uploaded to a generative AI tool or Large Language Model (LLM).,2
Emerald,"Reviewers may, however, use a generative AI tool to copy-edit and improve the quality of the language in their review; in such cases, they maintain responsibility for the accuracy and integrity of the review, and must declare this usage transparently to the editorial team.",7
Emerald,"Any work submitted to Emerald for consideration and review should be treated as confidential, meaning that sharing this material with another person or uploading it to a generative AI tool or LLM for assessment or evaluation would violate the author’s confidentiality, as well as any proprietary and/or data privacy rights.",5
Emerald,"There are additional concerns regarding the use of generative AI tools for peer review due to biases in the datasets of these models and the reliability of their ability to assess content, with the risk of generating false, flawed, or inaccurate results.",2
Emerald,"To maintain trust in the integrity of the published record, Emerald does not permit the use of generative AI tools or LLMs to assist in the review, evaluation, or decision-making process of any part of an article, case study, or chapter by either a member of a journal’s editorial team or a reviewer, in accordance with Emerald’s principles of peer review.",5
